"Eintritte nach Ausbildungsfeld, Kanton, Ausbildungstyp, Geschlecht und Ausbildungsform"

"Ausbildungsfeld";"Kanton";"Ausbildungstyp";"Geschlecht - Total Ausbildungsform - Total 2011";"Geschlecht - Total Vollschulisch 2011";"Geschlecht - Total Dual 2011";"Mann Ausbildungsform - Total 2011";"Mann Vollschulisch 2011";"Mann Dual 2011";"Frau Ausbildungsform - Total 2011";"Frau Vollschulisch 2011";"Frau Dual 2011"
"Musik und darstellende Kunst";"Vaud";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Vaud";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Vaud";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Valais / Wallis";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Valais / Wallis";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Valais / Wallis";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Valais / Wallis";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Neuchâtel";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Neuchâtel";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Neuchâtel";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Neuchâtel";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Genève";"Ausbildungstyp - Total";10;10;0;2;2;0;8;8;0
"Musik und darstellende Kunst";"Genève";"EFZ";10;10;0;2;2;0;8;8;0
"Musik und darstellende Kunst";"Genève";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Genève";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Jura";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Jura";"EFZ";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Jura";"EBA";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Jura";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Schweiz";"Ausbildungstyp - Total";1478;400;1078;779;186;593;699;214;485
"Audiovisuelle Techniken und Medienproduktion";"Schweiz";"EFZ";1478;400;1078;779;186;593;699;214;485
"Audiovisuelle Techniken und Medienproduktion";"Schweiz";"EBA";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Schweiz";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Zürich";"Ausbildungstyp - Total";180;0;180;92;0;92;88;0;88
"Audiovisuelle Techniken und Medienproduktion";"Zürich";"EFZ";180;0;180;92;0;92;88;0;88
"Audiovisuelle Techniken und Medienproduktion";"Zürich";"EBA";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Zürich";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Bern / Berne";"Ausbildungstyp - Total";176;18;158;90;3;87;86;15;71
"Audiovisuelle Techniken und Medienproduktion";"Bern / Berne";"EFZ";176;18;158;90;3;87;86;15;71
"Audiovisuelle Techniken und Medienproduktion";"Bern / Berne";"EBA";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Bern / Berne";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Luzern";"Ausbildungstyp - Total";99;22;77;44;8;36;55;14;41
"Audiovisuelle Techniken und Medienproduktion";"Luzern";"EFZ";99;22;77;44;8;36;55;14;41
"Audiovisuelle Techniken und Medienproduktion";"Luzern";"EBA";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Luzern";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Uri";"Ausbildungstyp - Total";3;0;3;1;0;1;2;0;2
"Audiovisuelle Techniken und Medienproduktion";"Uri";"EFZ";3;0;3;1;0;1;2;0;2
"Audiovisuelle Techniken und Medienproduktion";"Uri";"EBA";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Uri";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Schwyz";"Ausbildungstyp - Total";11;0;11;4;0;4;7;0;7
"Audiovisuelle Techniken und Medienproduktion";"Schwyz";"EFZ";11;0;11;4;0;4;7;0;7
"Audiovisuelle Techniken und Medienproduktion";"Schwyz";"EBA";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Schwyz";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Obwalden";"Ausbildungstyp - Total";9;0;9;5;0;5;4;0;4
"Audiovisuelle Techniken und Medienproduktion";"Obwalden";"EFZ";9;0;9;5;0;5;4;0;4
"Audiovisuelle Techniken und Medienproduktion";"Obwalden";"EBA";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Obwalden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Audiovisuelle Techniken und Medienproduktion";"Nidwalden";"Ausbildungstyp - Total";9;0;9;4;0;4;5;0;5
